@relation gym_abandono_400

@attribute asistencias_4_sem numeric
@attribute pago_al_dia {No,Si}
@attribute antiguedad_meses numeric
@attribute tipo_plan {Mensual,Trimestral}
@attribute abandona_30dias(clase) {'Se va',Permanece}

@data
4,No,37,Mensual,'Se va'
4,No,12,Trimestral,'Se va'
13,No,14,Trimestral,'Se va'
14,No,1,Mensual,'Se va'
11,Si,43,Mensual,Permanece
4,No,31,Trimestral,'Se va'
10,Si,20,Mensual,Permanece
10,No,48,Trimestral,'Se va'
2,No,10,Trimestral,'Se va'
14,No,13,Trimestral,'Se va'
10,No,26,Mensual,'Se va'
8,No,28,Mensual,'Se va'
2,Si,23,Mensual,'Se va'
6,Si,28,Mensual,'Se va'
13,No,28,Trimestral,'Se va'
15,No,1,Trimestral,'Se va'
0,Si,18,Mensual,'Se va'
8,No,21,Trimestral,'Se va'
8,Si,15,Trimestral,'Se va'
8,No,43,Trimestral,'Se va'
4,Si,47,Trimestral,'Se va'
16,No,30,Trimestral,'Se va'
14,No,37,Trimestral,'Se va'
2,Si,10,Mensual,'Se va'
16,Si,13,Mensual,Permanece
10,No,2,Trimestral,'Se va'
8,No,8,Mensual,'Se va'
8,No,12,Trimestral,'Se va'
2,Si,21,Mensual,'Se va'
14,Si,28,Trimestral,Permanece
3,Si,24,Trimestral,'Se va'
16,Si,28,Mensual,Permanece
4,No,46,Trimestral,'Se va'
10,Si,26,Trimestral,Permanece
12,No,12,Trimestral,'Se va'
4,Si,9,Mensual,'Se va'
8,No,34,Trimestral,'Se va'
6,No,28,Mensual,'Se va'
1,No,6,Trimestral,'Se va'
2,No,46,Trimestral,'Se va'
13,Si,30,Mensual,Permanece
0,Si,33,Mensual,'Se va'
15,No,25,Trimestral,'Se va'
16,No,47,Trimestral,'Se va'
8,Si,7,Trimestral,Permanece
0,No,30,Trimestral,'Se va'
12,No,40,Trimestral,'Se va'
3,No,29,Trimestral,'Se va'
15,Si,2,Trimestral,'Se va'
8,Si,27,Trimestral,'Se va'
6,Si,25,Trimestral,Permanece
9,No,13,Mensual,'Se va'
12,No,19,Mensual,'Se va'
3,Si,18,Trimestral,'Se va'
5,No,18,Mensual,'Se va'
0,Si,18,Mensual,'Se va'
12,Si,27,Trimestral,Permanece
14,Si,18,Trimestral,Permanece
1,No,41,Mensual,'Se va'
15,No,48,Trimestral,'Se va'
10,No,20,Mensual,'Se va'
13,Si,3,Trimestral,'Se va'
4,No,43,Trimestral,'Se va'
15,Si,41,Mensual,Permanece
16,Si,30,Trimestral,Permanece
4,No,5,Mensual,'Se va'
11,Si,18,Mensual,Permanece
16,No,19,Trimestral,'Se va'
7,No,6,Mensual,'Se va'
6,Si,22,Mensual,'Se va'
3,Si,44,Mensual,'Se va'
14,No,15,Mensual,'Se va'
2,Si,38,Trimestral,'Se va'
10,No,10,Trimestral,'Se va'
14,No,33,Trimestral,'Se va'
7,No,12,Mensual,'Se va'
3,Si,16,Mensual,'Se va'
0,Si,7,Trimestral,'Se va'
2,No,1,Trimestral,'Se va'
10,No,31,Trimestral,'Se va'
1,Si,14,Trimestral,'Se va'
12,Si,30,Mensual,Permanece
3,No,31,Trimestral,'Se va'
7,No,17,Mensual,'Se va'
2,Si,28,Mensual,'Se va'
15,Si,35,Mensual,Permanece
9,No,38,Mensual,'Se va'
9,No,47,Mensual,'Se va'
0,Si,1,Trimestral,'Se va'
5,No,35,Trimestral,'Se va'
7,No,45,Trimestral,'Se va'
10,No,36,Mensual,'Se va'
10,No,4,Trimestral,'Se va'
8,Si,25,Trimestral,'Se va'
5,Si,31,Trimestral,Permanece
12,No,22,Mensual,'Se va'
8,No,19,Trimestral,'Se va'
14,Si,18,Mensual,Permanece
15,No,30,Mensual,'Se va'
9,No,45,Mensual,'Se va'
1,No,39,Trimestral,'Se va'
1,Si,15,Mensual,'Se va'
16,No,45,Trimestral,'Se va'
15,Si,19,Trimestral,Permanece
11,Si,31,Trimestral,Permanece
0,No,39,Mensual,'Se va'
9,Si,19,Mensual,Permanece
3,Si,26,Trimestral,'Se va'
2,Si,44,Trimestral,'Se va'
2,No,14,Mensual,'Se va'
1,Si,18,Mensual,'Se va'
2,No,10,Trimestral,'Se va'
9,Si,46,Mensual,Permanece
15,No,28,Mensual,'Se va'
1,No,29,Trimestral,'Se va'
10,Si,20,Mensual,Permanece
11,No,1,Mensual,'Se va'
0,Si,34,Mensual,'Se va'
6,No,39,Mensual,'Se va'
0,Si,35,Mensual,'Se va'
5,No,21,Mensual,'Se va'
11,Si,26,Mensual,Permanece
1,No,1,Trimestral,'Se va'
0,No,25,Mensual,'Se va'
0,No,6,Trimestral,'Se va'
3,No,48,Trimestral,'Se va'
16,Si,27,Mensual,Permanece
5,Si,17,Trimestral,'Se va'
11,Si,40,Mensual,Permanece
8,No,12,Mensual,'Se va'
2,Si,30,Trimestral,'Se va'
1,No,11,Trimestral,'Se va'
14,No,4,Trimestral,'Se va'
8,No,41,Mensual,'Se va'
13,Si,20,Trimestral,Permanece
8,No,37,Trimestral,'Se va'
6,No,25,Mensual,'Se va'
10,No,5,Trimestral,'Se va'
3,No,23,Mensual,'Se va'
14,No,25,Mensual,'Se va'
10,No,21,Mensual,'Se va'
5,No,10,Trimestral,'Se va'
12,Si,28,Trimestral,Permanece
9,No,7,Trimestral,'Se va'
1,No,26,Trimestral,'Se va'
16,No,16,Trimestral,'Se va'
11,Si,14,Mensual,Permanece
11,No,27,Mensual,'Se va'
10,No,48,Trimestral,'Se va'
8,No,32,Trimestral,'Se va'
14,No,22,Trimestral,'Se va'
7,Si,46,Mensual,'Se va'
9,No,46,Trimestral,'Se va'
9,Si,29,Trimestral,Permanece
8,Si,19,Mensual,'Se va'
11,Si,17,Trimestral,Permanece
14,Si,40,Trimestral,Permanece
8,Si,16,Mensual,'Se va'
1,Si,12,Trimestral,'Se va'
10,No,27,Trimestral,'Se va'
3,No,46,Mensual,'Se va'
6,No,46,Mensual,'Se va'
4,No,7,Mensual,'Se va'
8,No,45,Mensual,'Se va'
14,Si,6,Mensual,'Se va'
5,Si,48,Trimestral,'Se va'
7,Si,1,Trimestral,'Se va'
2,Si,3,Trimestral,'Se va'
10,No,45,Trimestral,'Se va'
15,Si,3,Trimestral,'Se va'
6,Si,27,Mensual,Permanece
4,Si,14,Mensual,'Se va'
1,No,22,Mensual,'Se va'
4,Si,47,Trimestral,'Se va'
4,Si,22,Mensual,'Se va'
11,Si,44,Trimestral,Permanece
0,No,20,Mensual,'Se va'
2,Si,25,Trimestral,'Se va'
0,No,38,Trimestral,'Se va'
11,No,32,Trimestral,'Se va'
6,Si,1,Trimestral,'Se va'
1,No,1,Mensual,'Se va'
16,No,19,Mensual,'Se va'
10,No,32,Trimestral,'Se va'
15,No,2,Trimestral,'Se va'
16,Si,46,Trimestral,Permanece
8,No,46,Mensual,'Se va'
5,Si,25,Mensual,'Se va'
10,No,17,Mensual,'Se va'
6,No,29,Trimestral,'Se va'
14,No,7,Mensual,'Se va'
14,No,14,Trimestral,'Se va'
4,No,35,Mensual,'Se va'
3,No,30,Mensual,'Se va'
2,Si,48,Trimestral,'Se va'
1,Si,1,Mensual,'Se va'
16,Si,4,Mensual,Permanece
8,Si,29,Mensual,Permanece
13,Si,21,Mensual,Permanece
9,No,21,Mensual,'Se va'
13,Si,40,Mensual,Permanece
4,Si,17,Mensual,'Se va'
8,No,15,Trimestral,'Se va'
5,No,14,Trimestral,'Se va'
6,No,15,Mensual,'Se va'
12,No,2,Trimestral,'Se va'
12,Si,14,Trimestral,Permanece
1,Si,28,Mensual,'Se va'
10,No,12,Mensual,'Se va'
6,No,10,Trimestral,'Se va'
1,Si,40,Mensual,'Se va'
6,No,33,Mensual,'Se va'
11,Si,32,Mensual,Permanece
0,No,40,Trimestral,'Se va'
8,Si,47,Mensual,'Se va'
0,Si,11,Trimestral,'Se va'
2,Si,29,Trimestral,'Se va'
4,Si,24,Mensual,'Se va'
11,Si,30,Mensual,Permanece
11,Si,26,Trimestral,Permanece
2,No,44,Trimestral,'Se va'
2,Si,46,Trimestral,'Se va'
16,Si,6,Trimestral,'Se va'
13,No,41,Mensual,'Se va'
4,Si,11,Trimestral,'Se va'
0,Si,13,Mensual,'Se va'
4,No,28,Mensual,'Se va'
11,Si,23,Trimestral,Permanece
0,No,30,Trimestral,'Se va'
4,No,40,Trimestral,'Se va'
5,Si,22,Mensual,'Se va'
0,Si,39,Trimestral,'Se va'
5,No,31,Trimestral,'Se va'
7,Si,31,Trimestral,'Se va'
10,No,14,Mensual,'Se va'
9,No,31,Trimestral,'Se va'
12,Si,44,Mensual,Permanece
13,Si,19,Mensual,Permanece
5,Si,3,Mensual,'Se va'
7,No,3,Trimestral,'Se va'
12,No,18,Mensual,'Se va'
3,Si,37,Mensual,'Se va'
7,Si,23,Trimestral,'Se va'
4,No,40,Mensual,'Se va'
16,No,26,Mensual,'Se va'
16,Si,42,Trimestral,Permanece
7,Si,28,Trimestral,Permanece
14,No,28,Mensual,'Se va'
13,No,23,Mensual,'Se va'
11,No,15,Mensual,'Se va'
2,Si,38,Trimestral,'Se va'
9,Si,28,Trimestral,Permanece
6,No,40,Mensual,'Se va'
7,No,22,Trimestral,'Se va'
2,Si,3,Mensual,'Se va'
4,Si,31,Trimestral,'Se va'
12,Si,4,Mensual,Permanece
6,Si,16,Trimestral,Permanece
9,Si,4,Trimestral,'Se va'
3,No,40,Mensual,'Se va'
10,No,7,Mensual,'Se va'
1,Si,48,Mensual,'Se va'
14,Si,5,Trimestral,'Se va'
15,Si,25,Mensual,Permanece
16,No,14,Trimestral,'Se va'
13,Si,2,Mensual,'Se va'
7,No,38,Trimestral,'Se va'
12,Si,11,Mensual,Permanece
16,Si,8,Trimestral,Permanece
16,No,37,Trimestral,'Se va'
15,No,21,Mensual,'Se va'
1,No,39,Trimestral,'Se va'
9,No,25,Mensual,'Se va'
8,Si,22,Trimestral,Permanece
5,Si,41,Mensual,'Se va'
14,No,24,Mensual,'Se va'
9,No,31,Mensual,'Se va'
1,No,14,Mensual,'Se va'
11,Si,48,Trimestral,Permanece
10,Si,46,Trimestral,Permanece
2,Si,23,Trimestral,'Se va'
1,Si,36,Mensual,'Se va'
2,Si,19,Mensual,'Se va'
1,No,8,Mensual,'Se va'
14,Si,48,Mensual,Permanece
14,Si,25,Trimestral,Permanece
11,No,15,Trimestral,'Se va'
15,Si,33,Trimestral,Permanece
3,No,21,Mensual,'Se va'
13,No,33,Mensual,'Se va'
5,No,39,Trimestral,'Se va'
14,Si,33,Mensual,Permanece
0,No,24,Trimestral,'Se va'
6,No,18,Mensual,'Se va'
8,No,39,Trimestral,'Se va'
11,Si,19,Trimestral,Permanece
11,Si,40,Trimestral,Permanece
6,Si,2,Mensual,'Se va'
3,Si,21,Trimestral,'Se va'
16,No,25,Mensual,'Se va'
7,No,6,Trimestral,'Se va'
3,No,32,Trimestral,'Se va'
8,Si,27,Mensual,'Se va'
16,Si,7,Mensual,Permanece
15,Si,36,Mensual,Permanece
15,No,20,Trimestral,'Se va'
12,Si,34,Mensual,Permanece
12,Si,35,Trimestral,Permanece
6,Si,24,Mensual,Permanece
11,Si,6,Trimestral,Permanece
0,Si,4,Trimestral,'Se va'
1,Si,2,Mensual,'Se va'
12,Si,40,Trimestral,Permanece
12,No,7,Trimestral,'Se va'
5,Si,25,Mensual,'Se va'
15,Si,16,Mensual,Permanece
10,Si,29,Mensual,Permanece
9,Si,27,Mensual,Permanece
16,Si,26,Mensual,Permanece
16,No,46,Trimestral,'Se va'
9,No,17,Mensual,'Se va'
8,No,34,Trimestral,'Se va'
6,Si,30,Trimestral,'Se va'
10,Si,32,Mensual,Permanece
2,Si,3,Trimestral,'Se va'
10,Si,23,Mensual,Permanece
7,Si,13,Mensual,'Se va'
10,No,1,Mensual,'Se va'
6,Si,13,Mensual,'Se va'
16,No,24,Trimestral,'Se va'
4,No,16,Mensual,'Se va'
13,No,19,Trimestral,'Se va'
7,Si,47,Mensual,Permanece
12,No,35,Trimestral,'Se va'
0,No,4,Mensual,'Se va'
11,Si,31,Mensual,Permanece
0,Si,41,Trimestral,'Se va'
8,Si,11,Mensual,'Se va'
3,Si,38,Trimestral,'Se va'
12,Si,45,Trimestral,Permanece
14,No,23,Mensual,'Se va'
5,Si,34,Mensual,Permanece
11,Si,2,Trimestral,'Se va'
10,Si,33,Mensual,Permanece
1,Si,27,Mensual,'Se va'
14,No,6,Trimestral,'Se va'
13,No,40,Trimestral,'Se va'
12,No,12,Trimestral,'Se va'
16,Si,2,Trimestral,'Se va'
10,No,5,Mensual,'Se va'
14,No,45,Mensual,'Se va'
3,Si,18,Mensual,'Se va'
12,Si,38,Mensual,Permanece
2,Si,18,Trimestral,'Se va'
1,Si,46,Mensual,'Se va'
12,Si,26,Trimestral,Permanece
8,No,45,Trimestral,'Se va'
15,No,46,Mensual,'Se va'
4,No,12,Trimestral,'Se va'
8,Si,39,Mensual,Permanece
3,No,4,Mensual,'Se va'
1,Si,37,Mensual,'Se va'
7,Si,5,Mensual,Permanece
1,Si,42,Trimestral,'Se va'
12,Si,22,Mensual,Permanece
10,Si,43,Mensual,Permanece
6,No,10,Mensual,'Se va'
3,No,10,Trimestral,'Se va'
12,No,39,Trimestral,'Se va'
0,No,8,Trimestral,'Se va'
7,Si,41,Trimestral,'Se va'
9,Si,29,Mensual,Permanece
13,No,29,Mensual,'Se va'
4,No,25,Mensual,'Se va'
1,Si,30,Trimestral,'Se va'
2,Si,40,Mensual,'Se va'
6,Si,42,Mensual,Permanece
11,No,6,Mensual,'Se va'
0,No,23,Trimestral,'Se va'
3,No,39,Mensual,'Se va'
2,Si,43,Mensual,'Se va'
16,Si,37,Mensual,Permanece
